Statistic,Year,Type of Crop,UNIT,VALUE
Area under Crops,2001,Spring wheat,000 Hectares,35
Area under Crops,2001,Total oats,000 Hectares,16.8
Area under Crops,2001,Winter oats,000 Hectares,5.7
Area under Crops,2001,Spring oats,000 Hectares,11.1
Area under Crops,2001,Total barley,000 Hectares,182
Area under Crops,2001,Winter barley,000 Hectares,19.6
Area under Crops,2001,Spring barley,000 Hectares,162.4
Area under Crops,2001,Beans and peas,000 Hectares,1.9
Area under Crops,2001,Oilseed rape,000 Hectares,2.4
Area under Crops,2001,Potatoes,000 Hectares,14.3
Area under Crops,2001,Turnips,000 Hectares,1.8
Area under Crops,2001,Sugar beet,000 Hectares,31.1
Area under Crops,2001,Fodder beet,000 Hectares,4.3
Area under Crops,2001,Kale and field cabbage,000 Hectares,
Area under Crops,2002,"Total wheat, oats and barley",000 Hectares,297.5
Area under Crops,2002,Total wheat,000 Hectares,102.7
Area under Crops,2002,Winter wheat,000 Hectares,80
Area under Crops,2002,Spring wheat,000 Hectares,22.7
Area under Crops,2002,Total oats,000 Hectares,18.8
Area under Crops,2002,Winter oats,000 Hectares,11.8
Area under Crops,2002,Spring oats,000 Hectares,7
Area under Crops,2002,Total barley,000 Hectares,176
Area under Crops,2002,Winter barley,000 Hectares,23.2
Area under Crops,2002,Spring barley,000 Hectares,152.8
Area under Crops,2002,Beans and peas,000 Hectares,1.7
Area under Crops,2002,Oilseed rape,000 Hectares,2.2
Area under Crops,2002,Potatoes,000 Hectares,15.4
Area under Crops,2002,Turnips,000 Hectares,1.6
Area under Crops,2002,Sugar beet,000 Hectares,31.3
Area under Crops,2002,Fodder beet,000 Hectares,4.1
Area under Crops,2002,Kale and field cabbage,000 Hectares,
Area under Crops,2003,"Total wheat, oats and barley",000 Hectares,299.9
Area under Crops,2003,Total wheat,000 Hectares,95.7
Area under Crops,2003,Winter wheat,000 Hectares,60.6
Area under Crops,2003,Spring wheat,000 Hectares,35.2
Area under Crops,2003,Total oats,000 Hectares,21
Area under Crops,2003,Winter oats,000 Hectares,9.4
Area under Crops,2003,Spring oats,000 Hectares,11.6
Area under Crops,2003,Total barley,000 Hectares,183.1
Area under Crops,2003,Winter barley,000 Hectares,19.8
Area under Crops,2003,Spring barley,000 Hectares,163.3
Area under Crops,2003,Beans and peas,000 Hectares,2.9
Area under Crops,2003,Oilseed rape,000 Hectares,2.3
Area under Crops,2003,Potatoes,000 Hectares,14.2
Area under Crops,2003,Turnips,000 Hectares,
Area under Crops,2003,Sugar beet,000 Hectares,31.5
Area under Crops,2003,Fodder beet,000 Hectares,
Area under Crops,2003,Kale and field cabbage,000 Hectares,
Area under Crops,2004,"Total wheat, oats and barley",000 Hectares,306.4
Area under Crops,2004,Total wheat,000 Hectares,102.7
Area under Crops,2004,Winter wheat,000 Hectares,71.5
Area under Crops,2004,Spring wheat,000 Hectares,31.2
Area under Crops,2004,Total oats,000 Hectares,20
Area under Crops,2004,Winter oats,000 Hectares,12.9
Area under Crops,2004,Spring oats,000 Hectares,7
Area under Crops,2004,Total barley,000 Hectares,183.7
Area under Crops,2004,Winter barley,000 Hectares,20.5
Area under Crops,2004,Spring barley,000 Hectares,163.2
Area under Crops,2004,Beans and peas,000 Hectares,2.7
Area under Crops,2004,Oilseed rape,000 Hectares,2.2
Area under Crops,2004,Potatoes,000 Hectares,13.3
Area under Crops,2004,Turnips,000 Hectares,
Area under Crops,2004,Sugar beet,000 Hectares,31.1
Area under Crops,2004,Fodder beet,000 Hectares,
Area under Crops,2004,Kale and field cabbage,000 Hectares,
Area under Crops,2005,"Total wheat, oats and barley",000 Hectares,276.5
Area under Crops,2005,Total wheat,000 Hectares,95.2
Area under Crops,2005,Winter wheat,000 Hectares,65
Area under Crops,2005,Spring wheat,000 Hectares,30.2
Area under Crops,2005,Total oats,000 Hectares,16.8
Area under Crops,2005,Winter oats,000 Hectares,8.6
Area under Crops,2005,Spring oats,000 Hectares,8.2
Area under Crops,2005,Total barley,000 Hectares,164.4
Area under Crops,2005,Winter barley,000 Hectares,17
Area under Crops,2005,Spring barley,000 Hectares,147.4
Area under Crops,2005,Beans and peas,000 Hectares,3.7
Area under Crops,2005,Oilseed rape,000 Hectares,3.7
Area under Crops,2005,Potatoes,000 Hectares,11.8
Area under Crops,2005,Turnips,000 Hectares,
Area under Crops,2005,Sugar beet,000 Hectares,31
Area under Crops,2005,Fodder beet,000 Hectares,
Area under Crops,2005,Kale and field cabbage,000 Hectares,
Area under Crops,2006,"Total wheat, oats and barley",000 Hectares,274.9
Area under Crops,2006,Total wheat,000 Hectares,87.5
Area under Crops,2006,Winter wheat,000 Hectares,59.2
Area under Crops,2006,Spring wheat,000 Hectares,28.3
Area under Crops,2006,Total oats,000 Hectares,20.4
Area under Crops,2006,Winter oats,000 Hectares,9.3
Area under Crops,2006,Spring oats,000 Hectares,11.1
Area under Crops,2006,Total barley,000 Hectares,167
Area under Crops,2006,Winter barley,000 Hectares,15.1
Area under Crops,2006,Spring barley,000 Hectares,151.9
Area under Crops,2006,Beans and peas,000 Hectares,4.3
Area under Crops,2006,Oilseed rape,000 Hectares,5.1
Area under Crops,2006,Potatoes,000 Hectares,11.5
Area under Crops,2006,Turnips,000 Hectares,
Area under Crops,2006,Sugar beet,000 Hectares,
Area under Crops,2006,Fodder beet,000 Hectares,
